home_no,host_name,host_age,host_phone,host_gender,guardian_name,guardian_phone,relation,host_register_no,host_account_no,host_bank,rent,lat,lng,introduce,host_personality_no,home_option_no,si,sgg,emd,ro,detail,register_member_role
29,윤수진,70,01000400486,F,이도윤,01089881694,자녀,810425-2370174,001-316352472314,국민,50,37.564646,127.038897,즉시입주가능한 풀옵션,29,29,서울,성동구,empty,마조로19길 21,empty,UNAUTHORIZED_MEMBER
30,한수민,77,01076791288,F,박옥자,01089474359,자녀,590924-1424364,008-030441128676,SC제일,60,37.566629,127.034902,도선사거리 인접 컨디션좋은 풀옵션원룸 즉시입주,30,30,서울,성동구,empty,마장로27길 2,empty,USER
31,장지아,100,01045496346,F,이명숙,01051117111,자녀,440120-2456595,007-735440342278,씨티,45,37.568214,127.031981,방2개 월세  화장실단독사용 여성분만가능 주차가능,31,31,서울,성동구,empty,무학로 50,empty,UNAUTHORIZED_MEMBER
32,백영환,95,01020505870,M,박보람,01002968283,자녀,170302-1527764,001-567701778719,국민,55,37.565557,127.030744,즉시입주가능 저렴한 오픈형 풀옵션,32,32,서울,성동구,empty,왕십리로30길 13,empty,USER
33,이영미,79,01040890954,F,이준영,01049894967,자녀,210314-1461024,007-506054256869,씨티,25,37.563012,127.044494,통풍 잘 되고 햇빛이 잘 들어 쾌적한 2층 원룸,33,33,서울,성동구,empty,살곶이2가길 76,empty,USER
34,이순옥,93,01056720763,F,우춘자,01070051469,자녀,740904-1496387,014-369579344335,경남,40,37.567885,127.035843,2층 방1칸 분리형 원룸 옵션x,34,34,서울,성동구,empty,마장로29길 29,empty,USER
35,박영희,93,01080450686,F,이영자,01038022479,자녀,770809-2675716,006-021686708747,기업,30,37.563538,127.030482,풀옵션 원룸,35,35,서울,성동구,empty,무학봉15길 26,empty,USER
36,장혜진,90,01039369002,F,곽민준,01023665840,자녀,680402-1717718,015-309452988686,대구,70,37.565189,127.03674,왕십리초역세권 도보3분 성동구청 바로옆 빠른 입주협의,36,36,서울,성동구,empty,고산자로 284,empty,USER
37,이성민,77,01066088087,M,윤정순,01029850200,자녀,760911-2590572,003-933853691942,신한,65,37.563626,127.040083,왕십리역 역세권 넓고 채광좋은 풀옵션원룸,37,37,서울,성동구,empty,마조로15길 13,empty,USER
38,김승민,99,01070323725,M,우현숙,01043539198,자녀,230327-1450118,005-685563440132,농협,70,37.565557,127.030744,즉시입주 8P넓은 원룸 풀옵션 남향세대 공동보안,38,38,서울,성동구,empty,왕십리로30길 13,empty,UNAUTHORIZED_MEMBER
39,진정식,71,01001172495,M,박미경,01096929818,자녀,900917-2098407,023-298083424535,케이,60,37.567531,127.0456,"마장역,답십리역5호선 신답역2호석 더블 역세권 원룸 즉시입주",39,39,서울,성동구,empty,마장로 328,empty,USER
40,허영길,69,01018074510,M,이하윤,01047581384,자녀,010626-1976159,007-955307949051,씨티,50,37.569326,127.033743,도배장판 해드립니다 층간소음없는집,40,40,서울,성동구,empty,청계천로10나길 12,empty,USER
41,김광수,82,01056278254,M,백영숙,01042746744,자녀,250423-2936383,017-487857766022,광주,40,37.565735,127.033513,홍익동 넓은 다가구 1.5룸,41,41,서울,성동구,empty,무학로10길 24,empty,UNAUTHORIZED_MEMBER
42,홍순자,99,01087292735,F,이현지,01071277780,자녀,970409-1616752,023-193223439191,케이,63,37.559906,127.069378,"중랑천고층뷰,저렴한월세 장한평역서희스타힐스오피스텔",42,42,서울,성동구,용답동,empty,empty,UNAUTHORIZED_MEMBER
43,백성민,71,01025899917,M,윤정식,01053689833,자녀,390103-1581753,007-348938562988,씨티,70,37.560731,127.065465,장한평역 초역세권 전입 가능한 풀옵션 신축급 오피스텔 부라다,43,43,서울,성동구,empty,자동차시장1길 73,empty,UNAUTHORIZED_MEMBER
44,박현준,76,01031083558,M,김지후,01091534543,자녀,530607-1001851,003-721336834442,신한,30,37.535879,127.059636,"삼정 실5, 깔끔한 1층 원룸",44,44,서울,성동구,성수동2가,empty,empty,USER
45,이윤서,70,01097400502,F,이수민,01022155468,자녀,350209-2137631,018-640102283191,수협,38,37.548881,127.067075,"화양사거리 위치, 즉시입주가능, 풀옵션 반지층 분리형 원룸",45,45,서울,성동구,empty,송정10길 22,empty,UNAUTHORIZED_MEMBER
46,김영환,91,01097622132,M,성옥순,01062944806,자녀,600305-2482993,090-150809983202,카카오,50,37.553671,126.9401,"주방분리형원룸, 풀옵션, 신촌역 도보6분, 버스정류장 도보 6분, 이마트",46,46,서울,마포구,empty,고산2길 48,empty,UNAUTHORIZED_MEMBER
47,이우진,82,01036851530,M,김성진,01036526045,자녀,540610-2500965,009-511073988470,우체국,60,37.565038,126.924926,O 신축급 O 연남동 조용한 주택가 O,47,47,서울,마포구,empty,성미산로 165,empty,UNAUTHORIZED_MEMBER
48,정은경,71,01002689204,F,이예은,01046043245,자녀,410222-1448804,008-843816581392,SC제일,60,37.565038,126.924926,가성비 좋은 연남동 수리한 원룸,48,48,서울,마포구,empty,성미산로 165,empty,USER
49,김영수,93,01005199747,M,최미영,01079157056,자녀,010423-1403592,005-446794974407,농협,46,37.563012,126.926085,O 옥탑 옥상단독사용 O 깔끔한 분리형 O 기본옵션 O,49,49,서울,마포구,empty,성미산로 188,empty,UNAUTHORIZED_MEMBER
50,양민석,72,01004637383,M,최성민,01045262536,자녀,870910-1593602,012-814940266256,토스,55,37.544241,127.084427,"풀옵션 원룸, 어린이대공원 인근",50,50,서울,광진구,empty,자양로29길 8,empty,UNAUTHORIZED_MEMBER
51,이현주,85,01062619730,F,강지민,01026216177,자녀,420717-2014199,006-723856384229,기업,47,37.538407,127.079864,핫한월세  풀옵션   월세에모든공과금포함요금  건대생에인기,51,51,서울,광진구,empty,자양로19길 68,empty,USER
52,우정수,86,01046255500,M,안미숙,01041621312,자녀,300511-2156898,008-033913743519,SC제일,45,37.543875,127.089159,깔끔하고 넓은 풀옵션 통원룸,52,52,서울,광진구,empty,자양로32길 70,empty,UNAUTHORIZED_MEMBER
53,김미정,82,01018045835,F,김민수,01078718510,자녀,260014-1859821,013-323408188720,부산,45,37.555347,127.079824,"군자역 초역세권 원룸, 옥상이용가능",53,53,서울,광진구,empty,능동로34길 12,empty,USER
54,김민수,84,01035624308,M,류민재,01050253885,자녀,490721-2709960,009-242174894713,우체국,50,37.555768,127.079246,"지하철군자역 도보1분 교통편리, 5호선,7호선 출퇴근직장인 적합",54,54,서울,광진구,empty,천호대로110길 30,empty,USER
55,김주원,67,01054266152,M,김상철,01048810655,자녀,180610-1339011,006-249862701004,기업,60,37.537677,127.085115,"리모델링한 신축급 풀옵션 원룸, 구의역 1분",55,55,서울,광진구,empty,자양로18길 26,empty,USER
56,송정수,94,01026417583,M,강성훈,01022040791,자녀,690726-2195964,012-512144970089,토스,55,37.537757,127.067473,올수리2년차 보증금최소월세 대출없음,56,56,서울,광진구,empty,뚝섬로23길 75,empty,USER
57,김서연,78,01031517159,F,민재호,01075051319,자녀,980622-2878769,003-781697809736,신한,60,37.539191,127.065127,"옥상 단독 사용, 풀옵션 공간 활용 좋은 원룸",57,57,서울,광진구,empty,동일로18나길 6,empty,USER
58,김지영,76,01031047633,F,이주원,01029953756,자녀,650114-1845937,007-426118124966,씨티,30,37.537696,127.064466,건대입구역세권 도보8분 깔끔한 풀옵션 원룸,58,58,서울,광진구,empty,동일로10다길 8,empty,UNAUTHORIZED_MEMBER
59,장옥순,83,01029678204,F,이병철,01085468722,자녀,780816-2322581,017-690232720259,광주,50,37.538448,127.093432,풀옵션 남향 밝고 깨끗 초역세권 즉시입주가능,59,59,서울,광진구,empty,구의강변로 87,empty,USER
60,조정호,73,01021928191,M,서상철,01029650501,자녀,900625-2914017,004-884933972913,하나,29,37.571071,127.080557,중곡동 깔끔한 풀옵션 원룸,60,60,서울,광진구,empty,답십리로74길 11,empty,UNAUTHORIZED_MEMBER
61,윤승현,83,01025675050,M,김은지,01032182413,자녀,700106-2364267,008-508953167007,SC제일,30,37.531167,127.078616,empty,61,61,서울,광진구,empty,자양번영로4길 59,empty,USER
62,한예지,90,01011935868,F,이예진,01000954442,자녀,370716-2339387,011-787893678876,산업,35,37.52506,126.853333,신정역2분 풀옵션 빠른입주가능,62,62,서울,양천구,empty,오목로29길 3,empty,USER
63,이하윤,97,01060920291,F,박지민,01027354283,자녀,240326-1466444,002-524324370725,우리,40,37.523038,126.850488,"신정네거리역,신정역 풀옵션1.5룸 주차가능 단기임대",63,63,서울,양천구,empty,중앙로49길 11,empty,UNAUTHORIZED_MEMBER
64,이경숙,69,01091168401,F,김영호,01014130716,자녀,830116-2086431,002-867860063218,우리,40,37.518012,126.842758,"상태깨끗,이사협의,생활편리,교통이용편리",64,64,서울,양천구,empty,남부순환로79길 31,empty,USER
65,최승민,80,01042827954,M,김지은,01051515631,자녀,960711-1138238,003-345049461055,신한,35,37.519834,126.849902,방2화1 지하철도보이용 도배.장판.씽크대 수리함. 방넓고 주방공간있어요,65,65,서울,양천구,empty,중앙로39길 22,empty,USER
66,김광수,82,01015093893,M,박정식,01050781231,자녀,630612-2058414,020-160330269758,제주,40,37.519834,126.849902,방2화1베1 저렴한지상층 주방공간O 지하철도보이용 연식대비깔끔 언덕위치함,66,66,서울,양천구,empty,중앙로39길 22,empty,UNAUTHORIZED_MEMBER
67,김서윤,76,01019139558,F,한지민,01082842418,자녀,650317-1649229,016-179790600499,전북,30,37.52194,126.849647,신정네거리역세권. 계단없는 지층. 방1.화1. 상태깨끗해요,67,67,서울,양천구,empty,중앙로45길 28,empty,UNAUTHORIZED_MEMBER
68,오영자,92,01036417627,F,김은정,01067222569,자녀,760124-2556714,014-944618798172,경남,35,37.52194,126.849647,계단없음 지층임1층같음 방 주방 크고 깨끗함 즉시입주 신정네거리역5분,68,68,서울,양천구,empty,중앙로45길 28,empty,UNAUTHORIZED_MEMBER
69,김선영,99,01009831507,F,최예준,01002608341,자녀,530809-2889987,007-503473202421,씨티,35,37.519244,126.854831,"전철3분,신서학군,즉시입주,공원앞",69,69,서울,양천구,empty,중앙로36길 8,empty,USER
70,김건우,82,01014401382,M,하춘자,01082924900,자녀,000117-1840054,012-805099733249,토스,60,37.521049,126.854274,올수리 투룸 옥상마당 사용가능 사무실 공방 등 사용가능,70,70,서울,양천구,empty,신월로 300,empty,USER
71,이보람,68,01013029951,F,이현지,01024735164,자녀,230027-1142405,023-894277472058,케이,35,37.520162,126.850106,"깔끔수리 함,즉시입주,전철5분",71,71,서울,양천구,empty,중앙로45길 25,empty,UNAUTHORIZED_MEMBER
72,장미영,78,01095339855,F,박윤서,01088624578,자녀,610918-1826691,013-827942802303,부산,25,37.519564,126.850667,"분리형 원룸, 풀옵션, 옥상 마당 사용 가능한 옥탑",72,72,서울,양천구,empty,중앙로47길 20,empty,UNAUTHORIZED_MEMBER
73,이유진,92,01086559511,F,이준호,01082411124,자녀,760902-2533983,003-413247204959,신한,40,37.524496,126.851967,역세권 I 대로변 1.5룸 월세 I 설명란 확인,73,73,서울,양천구,empty,오목로 131,empty,UNAUTHORIZED_MEMBER
74,박영희,73,01084233653,F,이승현,01091933203,자녀,650704-2751211,005-140392776756,농협,35,37.519834,126.849902,"도배장판,싱크대,변기교체. 지하철역인접. 계단없는바닥1층",74,74,서울,양천구,empty,중앙로39길 22,empty,USER
75,권성진,66,01008146224,M,박지우,01010752291,자녀,820614-1056774,006-604868495360,기업,25,37.517218,126.849807,즉시입주가 계단없는 지층 에어컨 가스렌지있음 상태 양호,75,75,서울,양천구,empty,중앙로47길 47,empty,UNAUTHORIZED_MEMBER
76,최종수,100,01019563637,M,최미영,01083347984,자녀,050200-1357142,013-801331912789,부산,40,37.519335,126.848704,보증금 조정가능 진입이 편리하며 거주자 우선주차지역 방 오전만 볼수있음,76,76,서울,양천구,empty,중앙로29길 88,empty,UNAUTHORIZED_MEMBER
77,강현지,66,01067269896,F,김하은,01083504597,자녀,340419-2474751,009-829409073513,우체국,40,37.519834,126.849902,"싱크대,변기,벽지,바닥교체. 지하철역인접.보일러실 넓어요. 1.5층",77,77,서울,양천구,empty,중앙로39길 22,empty,USER
78,이은정,96,01070354905,F,이영철,01003710575,자녀,670427-1926897,014-789874900015,경남,30,37.545565,126.874293,"염창역도보2분,풀옵션",78,78,서울,양천구,empty,목동중앙북로 102,empty,USER
79,권상현,79,01069727281,M,박건우,01061792638,자녀,720220-2235053,023-169160610225,케이,30,37.533452,126.865459,목사거리인근 신축급 올수리 여성전용 원룸,79,79,서울,양천구,empty,목동중앙서로3길 20,empty,UNAUTHORIZED_MEMBER
80,김지영,67,01043212675,F,윤은영,01036435306,자녀,400519-2686684,018-511862978829,수협,30,37.545565,126.874293,염창역 최저가 풀옵션 관리 잘해서 깔끔한 원룸,80,80,서울,양천구,empty,목동중앙북로 102,empty,USER
81,조성민,66,01026873561,M,이지은,01027103973,자녀,970506-1768166,011-446945384043,산업,47,37.534834,126.866647,깔끔하고 실용적인 저렴한 원룸월세,81,81,서울,양천구,empty,목동중앙서로11길 65,empty,UNAUTHORIZED_MEMBER
82,김명숙,90,01061774713,F,최은경,01012388935,자녀,430215-1950566,009-825599347610,우체국,40,37.533862,126.864318,주차가능.옥탑방전용면적9.넓음.풀옵션.옥상씀.큰도로옆안전,82,82,서울,양천구,empty,목동중앙서로7나길 11,empty,UNAUTHORIZED_MEMBER
83,홍미경,78,01095179336,F,홍지연,01048926420,자녀,950517-1026849,009-956332834974,우체국,41,37.550155,126.86598,empty,83,83,서울,양천구,empty,공항대로 542,empty,USER
84,김예원,100,01096830703,F,박지혜,01085222053,자녀,110911-1935230,002-717509050346,우리,40,37.533696,126.865138,조용한 주택가. 바닥층. 도배 등 수리되어깨끗. 대중교통이용편리,84,84,서울,양천구,empty,목동중앙서로7길 17,empty,UNAUTHORIZED_MEMBER
85,이예원,85,01043817034,F,최성수,01005719759,자녀,910203-2639754,020-145221652668,제주,40,37.533696,126.865138,올수리 깨끗한 방2,85,85,서울,양천구,empty,목동중앙서로7길 17,empty,UNAUTHORIZED_MEMBER
86,이도현,73,01040937042,M,김현우,01089737620,자녀,450023-1305556,015-595319070244,대구,41,37.550155,126.86598,등촌역 초역세권 보증금 저렴한 원룸,86,86,서울,양천구,empty,공항대로 542,empty,USER
87,장성민,77,01020024577,M,이승현,01091470486,자녀,670707-1912855,090-010092532551,카카오,41,37.550155,126.86598,"안전한 대로변위치,9호선 등촌역 깨끗한 풀옵션",87,87,서울,양천구,empty,공항대로 542,empty,USER
88,박정수,67,01079285294,M,한서현,01059047207,자녀,160824-1600464,015-818734540191,대구,57,37.524506,126.862248,풀옵션 깔끔 채광좋은 바닥층 목동역4분 빌라형 다가구,88,88,서울,양천구,empty,목동로17길 16,empty,USER
89,이병철,90,01051178792,M,조영숙,01055093972,자녀,930621-2706890,005-327523916743,농협,35,37.527068,126.861904,목동역 단독주택에 있는 옥탑 입니다.,89,89,서울,양천구,empty,신정중앙로21길 12,empty,UNAUTHORIZED_MEMBER
90,서주원,70,01026124398,M,오정호,01005992154,자녀,680424-2911925,003-322691790222,신한,25,37.534563,126.824885,신월3동옥탑방,90,90,서울,양천구,empty,가로공원로60길 8,empty,UNAUTHORIZED_MEMBER
91,김성진,93,01076099825,M,김성훈,01056103968,자녀,700822-2243311,015-486691851098,대구,42,37.534291,126.829007,"JS드림,대로변,복층,저렴한관리비",91,91,서울,양천구,empty,남부순환로 368,empty,UNAUTHORIZED_MEMBER
92,한상철,77,01026121101,M,이민수,01074946722,자녀,030427-1851137,011-309328929124,산업,44,37.534291,126.829007,"JS드림,대로변,복층,저렴한관리비",92,92,서울,양천구,empty,남부순환로 368,empty,UNAUTHORIZED_MEMBER
93,문준혁,81,01076536587,M,강재호,01009025389,자녀,690119-1248397,005-789963374266,농협,40,37.54056,126.832364,신축수준으로 올수리 밝고 습기없는 반지층 방2,93,93,서울,양천구,empty,월정로46길 4,empty,UNAUTHORIZED_MEMBER
94,이미숙,95,01023344937,F,문경자,01052277683,자녀,550421-2140112,018-508677152863,수협,35,37.532368,126.825228,"신월사거리 8분,다가구 지상1층 방2,벽걸이에어컨 옵션,실면적 약7",94,94,서울,양천구,empty,남부순환로40길 85,empty,UNAUTHORIZED_MEMBER
95,송상훈,69,01087322171,M,조영자,01057426838,자녀,930729-2335652,009-647244769380,우체국,37,37.513309,126.945607,권리관계확실한 풀옵션전세원룸,95,95,서울,동작구,empty,만양로18길 19,empty,USER
96,김지아,96,01039486471,F,김영호,01002776101,자녀,400904-2482714,018-912128463278,수협,35,37.508466,126.946443,고시원가격의 가성비좋은 풀옵션원룸,96,96,서울,동작구,empty,만양로11길 3,empty,UNAUTHORIZED_MEMBER
97,고성진,85,01067178284,M,이상현,01032077489,자녀,200919-1610997,008-917782591964,SC제일,32,37.508769,126.947283,고시원가격의 풀옵션원룸,97,97,서울,동작구,empty,만양로6길 16,empty,UNAUTHORIZED_MEMBER
98,서정훈,80,01087448704,M,이승민,01000582492,자녀,950821-2642409,012-199768934046,토스,28,37.508613,126.947413,권리관계확실한 고시원가격의 풀옵션원룸입니다,98,98,서울,동작구,empty,만양로6길 12,empty,USER
99,권지원,74,01031013700,F,박영자,01016308746,자녀,670927-2978823,008-148632631424,SC제일,40,37.511081,126.947823,노량진 학원가부근 가격대비 방크고 채광과 통풍좋은 깨끗한 원룸,99,99,서울,동작구,empty,만양로12가길 10,empty,USER
100,최예은,97,01024560248,F,민지혜,01072604786,자녀,010121-1228426,008-570315463835,SC제일,28,37.502576,126.927457,empty,100,100,서울,동작구,empty,대방동2길 33,empty,UNAUTHORIZED_MEMBER
101,오성현,75,01012236124,M,김은정,01039841424,자녀,240823-1355969,003-014007734734,신한,55,37.508682,126.946478,대로변이고 동선이 안전한 창문이2개임,101,101,서울,동작구,empty,만양로 53,empty,USER
102,강미정,69,01031446421,F,이영식,01052987953,자녀,040108-2564412,004-446237013863,하나,37,37.511081,126.947823,방에 비해 정말 가격저렴하고 채광과 통풍좋은 깨끗한 원룸,102,102,서울,동작구,empty,만양로12가길 10,empty,USER
103,이예진,85,01047713245,F,이민준,01047251901,자녀,880205-1821441,015-789409168114,대구,32,37.508376,126.946456,집주인이 관리를잘해주는 권리관계확실한 매물입니다,103,103,서울,동작구,empty,만양로11길 3,empty,USER
104,이병철,100,01002585837,M,김정남,01049008195,자녀,670416-2853339,003-474052359461,신한,47,37.50868,126.947534,2018년신축한 방음이뛰어난풀옵션원룸,104,104,서울,동작구,empty,만양로8길 13,empty,UNAUTHORIZED_MEMBER
105,김정웅,91,01020566694,M,하도현,01020485716,자녀,300401-2698612,015-264372200546,대구,38,37.501832,126.92791,empty,105,105,서울,동작구,empty,대방동길 27,empty,USER
106,홍정훈,65,01061577036,M,최현주,01083554796,자녀,980320-2053895,007-129418088534,씨티,31,37.503334,126.933507,저렴한 원룸이 있다 깔끔한을 원한다면 한번 봅시다,106,106,서울,동작구,empty,상도로15마길 21,empty,USER
107,박은서,86,01027886494,F,이지후,01023060188,자녀,610922-2401632,011-888517040688,산업,34,37.509568,126.946013,저렴하고 화이트톤의 깨끗한 매물,107,107,서울,동작구,empty,만양로12길 6,empty,UNAUTHORIZED_MEMBER
108,김재호,96,01030098889,M,류상훈,01007014953,자녀,420606-1791230,004-930429524646,하나,50,37.500102,126.933507,신대방삼거리역 1번출구 도보 3분 초역세권 저렴하고 깔끔한 원룸,108,108,서울,동작구,empty,성대로3길 8,empty,USER
109,하준혁,69,01004030947,M,이예준,01055072300,자녀,960022-1133653,009-759500144176,우체국,36,37.512204,126.936138,깔끔한 가성비 좋은 원룸풀옵션,109,109,서울,동작구,empty,노량진로8가길 19,empty,USER
110,김성진,83,01091890329,M,조우진,01093049854,자녀,940411-1965382,009-769211957539,우체국,35,37.504562,126.935673,장승배기역 4번출구 도보 3분거리 초역세권 도배예정 깔끔한 원룸여기,110,110,서울,동작구,empty,상도로15차길 5,empty,UNAUTHORIZED_MEMBER
111,김광수,78,01017050092,M,김승현,01083558163,자녀,230202-2185298,003-675671534339,신한,32,37.503334,126.933507,장승배기역 도보 7분 역세권 풀옵션 가성비 좋은 원룸,111,111,서울,동작구,empty,상도로15마길 21,empty,USER
112,이경희,66,01085802617,F,김유진,01038291864,자녀,280607-2617125,004-531867714497,하나,37,37.512401,126.946188,가성비최고 크기좋고 깨끗한 풀옵션 원룸,112,112,서울,동작구,empty,만양로14나길 19,empty,UNAUTHORIZED_MEMBER
113,강예진,66,01036666353,F,권명숙,01024231440,자녀,360326-2595675,020-551199358636,제주,40,37.501837,126.924584,보라매역 도보 8분 풀옵션 원룸,113,113,서울,동작구,empty,대방동27길 73,empty,USER
114,김서준,91,01068383859,M,김영길,01008410936,자녀,020511-2502800,009-946379698045,우체국,40,37.511596,126.938471,노량진 학원가 인접 깔끔한방,114,114,서울,동작구,empty,장승배기로27길 16,empty,UNAUTHORIZED_MEMBER
